"num1","num2","dec1","unit1","dec2","unit2","dec_dist","unit_dist","num_dist","min_dec","max_dec","min_unit","max_unit","min_num","max_num","vig1","vig2","b20u1","b20u2","within_dec","within_vig","comp","comp_b20","greater60","smaller60","num1_greater","num2_greater","condition","orig_item","dist_discrepancy","dec_pair","matched_group","stim1","stim2","stim1_correct","is_null","isi","stim_shift"
92,75,9,2,7,5,2,3,17,7,9,2,5,75,92,8,6,12,15,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,0,"gr60_b10i_b20i","72_95",6,"70s_90s","70s_90s_1","  92","75",1,0,1178.638010424376,"stim1-tilt-right"
96,82,9,6,8,2,1,4,14,8,9,2,6,82,96,8,8,16,2,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,1,0,"gr60_b10c_b20w","82_96",0,"80s_90s","80s_90s_1","96","  82",1,0,1105.6855176336314,"stim2-tilt-right"
75,73,7,5,7,3,0,2,2,7,7,3,5,73,75,6,6,15,13,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,1,0,"gr60_b10w_b20w","73_75",0,"70s_70s","70s_70s_1","75","73  ",1,0,1602.7311504737436,"stim2-tilt-left"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"null_event",NA,NA,NA,NA,"##  ","##",NA,1,1116.1591241095223,"stim1-tilt-left"
79,82,7,9,8,2,1,7,3,7,8,2,9,79,82,6,8,19,2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,1,"gr60_b10i_b20i","72_89",14,"70s_80s","70s_80s_0","79","82",0,0,1487.391608967198,"no-tilt"
63,98,6,3,9,8,3,5,35,6,9,3,8,63,98,6,8,3,18,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,0,1,"gr60_b10c_b20c","63_98",0,"60s_90s","60s_90s_0","63  ","98",0,0,1292.448344248388,"stim1-tilt-left"
82,96,8,2,9,6,1,4,14,8,9,2,6,82,96,8,8,2,16,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,0,1,"gr60_b10c_b20w","82_96",0,"80s_90s","80s_90s_0","82","96",0,0,1050.9539088004133,"no-tilt"
29,24,2,9,2,4,0,5,5,2,2,4,9,24,29,2,2,9,4,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1,0,"sm60_b10w_b20w","24_29",0,"20s_20s","20s_20s_1","29","  24",1,0,1061.6686320181552,"stim2-tilt-right"
85,79,8,5,7,9,1,4,6,7,8,5,9,79,85,8,6,5,19,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,0,"gr60_b10i_b20i","75_89",8,"70s_80s","70s_80s_1","85","79  ",1,0,1822.9618891770338,"stim2-tilt-left"
57,43,5,7,4,3,1,4,14,4,5,3,7,43,57,5,4,7,3,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,1,0,"sm60_b10c_b20c","43_57",0,"40s_50s","40s_50s_1","  57","43",1,0,1088.1538258661815,"stim1-tilt-right"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"null_event",NA,NA,NA,NA,"##  ","##",NA,1,2007.5878141932199,"stim1-tilt-left"
64,65,6,4,6,5,0,1,1,6,6,4,5,64,65,6,6,4,5,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0,1,"gr60_b10w_b20w","64_65",0,"60s_60s","60s_60s_0","  64","65",0,0,1492.0936619047236,"stim1-tilt-right"
56,52,5,6,5,2,0,4,4,5,5,2,6,52,56,5,5,6,2,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1,0,"sm60_b10w_b20w","52_56",0,"50s_50s","50s_50s_1","56","  52",1,0,1129.8401419521942,"stim2-tilt-right"
94,78,9,4,7,8,2,4,16,7,9,4,8,78,94,8,6,14,18,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,0,"gr60_b10i_b20i","74_98",8,"70s_90s","70s_90s_1","94","78",1,0,1065.7465731353395,"no-tilt"
23,57,2,3,5,7,3,4,34,2,5,3,7,23,57,2,5,3,7,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,0,1,"sm60_b10c_b20c","23_57",0,"20s_50s","20s_50s_0","23","57  ",0,0,1283.2682937110549,"stim2-tilt-left"
82,76,8,2,7,6,1,4,6,7,8,2,6,76,82,8,6,2,16,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,0,"gr60_b10i_b20i","72_86",8,"70s_80s","70s_80s_1","  82","76",1,0,2278.30238657094,"stim1-tilt-right"
62,89,6,2,8,9,2,7,27,6,8,2,9,62,89,6,8,2,9,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,0,1,"gr60_b10c_b20c","62_89",0,"60s_80s","60s_80s_0","62","  89",0,0,1840.6762467585213,"stim2-tilt-right"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"null_event",NA,NA,NA,NA,"##","##",NA,1,1848.2476799606386,"no-tilt"
95,94,9,5,9,4,0,1,1,9,9,4,5,94,95,8,8,15,14,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,1,0,"gr60_b10w_b20w","94_95",0,"90s_90s","90s_90s_1","95  ","94",1,0,2158.7603285713903,"stim1-tilt-left"
93,68,9,3,6,8,3,5,25,6,9,3,8,68,93,8,6,13,8,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,1,0,"gr60_b10i_b20c","63_98",10,"60s_90s","60s_90s_1","93","68  ",1,0,1780.2933309760756,"stim2-tilt-left"
69,73,6,9,7,3,1,6,4,6,7,3,9,69,73,6,6,9,13,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0,1,"gr60_b10i_b20w","63_79",12,"60s_70s","60s_70s_0","69","73  ",0,0,1128.4300519615972,"stim2-tilt-left"
78,72,7,8,7,2,0,6,6,7,7,2,8,72,78,6,6,18,12,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,1,0,"gr60_b10w_b20w","72_78",0,"70s_70s","70s_70s_1","  78","72",1,0,1182.1113147594388,"stim1-tilt-right"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"null_event",NA,NA,NA,NA,"##","##",NA,1,1579.336656488399,"no-tilt"
75,98,7,5,9,8,2,3,23,7,9,5,8,75,98,6,8,15,18,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,0,1,"gr60_b10c_b20c","75_98",0,"70s_90s","70s_90s_0","75","  98",0,0,1740.9359926835389,"stim2-tilt-right"
75,82,7,5,8,2,1,3,7,7,8,2,5,75,82,6,8,15,2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,1,"gr60_b10i_b20i","72_85",6,"70s_80s","70s_80s_0","75  ","82",0,0,1721.6976134290608,"stim1-tilt-left"
25,38,2,5,3,8,1,3,13,2,3,5,8,25,38,2,3,5,8,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,0,1,"sm60_b10c_b20c","25_38",0,"20s_30s","20s_30s_0","25  ","38",0,0,2176.6126701582625,"stim1-tilt-left"
92,68,9,2,6,8,3,6,24,6,9,2,8,68,92,8,6,12,8,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,1,0,"gr60_b10i_b20c","62_98",12,"60s_90s","60s_90s_1","92","68",1,0,2474.7009299256133,"no-tilt"
53,46,5,3,4,6,1,3,7,4,5,3,6,46,53,5,4,3,6,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,0,"sm60_b10i_b20i","43_56",6,"40s_50s","40s_50s_1","  53","46",1,0,1051.8079065336206,"stim1-tilt-right"
24,39,2,4,3,9,1,5,15,2,3,4,9,24,39,2,3,4,9,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,0,1,"sm60_b10c_b20c","24_39",0,"20s_30s","20s_30s_0","24","  39",0,0,1064.8587456988778,"stim2-tilt-right"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"null_event",NA,NA,NA,NA,"##","##  ",NA,1,1623.6703741800993,"stim2-tilt-left"
83,69,8,3,6,9,2,6,14,6,8,3,9,69,83,8,6,3,9,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,0,"gr60_b10i_b20i","63_89",12,"60s_80s","60s_80s_1","83  ","69",1,0,2544.659502606094,"stim1-tilt-left"
97,62,9,7,6,2,3,5,35,6,9,2,7,62,97,8,6,17,2,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,1,0,"gr60_b10c_b20c","62_97",0,"60s_90s","60s_90s_1","97","62",1,0,2103.024703129698,"no-tilt"
54,36,5,4,3,6,2,2,18,3,5,4,6,36,54,5,3,4,6,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,0,"sm60_b10i_b20i","34_56",4,"30s_50s","30s_50s_1","54","36  ",1,0,1707.9703257798212,"stim2-tilt-left"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"null_event",NA,NA,NA,NA,"  ##","##",NA,1,1340.7364298900616,"stim1-tilt-right"
43,49,4,3,4,9,0,6,6,4,4,3,9,43,49,4,4,3,9,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0,1,"sm60_b10w_b20w","43_49",0,"40s_40s","40s_40s_0","43","  49",0,0,1654.5370546945471,"stim2-tilt-right"
58,34,5,8,3,4,2,4,24,3,5,4,8,34,58,5,3,8,4,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,1,0,"sm60_b10c_b20c","34_58",0,"30s_50s","30s_50s_1","  58","34",1,0,1020.8424335627268,"stim1-tilt-right"
78,95,7,8,9,5,2,3,17,7,9,5,8,78,95,6,8,18,15,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,1,"gr60_b10i_b20i","75_98",6,"70s_90s","70s_90s_0","78","95",0,0,1138.8126367859622,"no-tilt"
56,42,5,6,4,2,1,4,14,4,5,2,6,42,56,5,4,6,2,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,1,0,"sm60_b10c_b20c","42_56",0,"40s_50s","40s_50s_1","56  ","42",1,0,1353.2253403165246,"stim1-tilt-left"
79,86,7,9,8,6,1,3,7,7,8,6,9,79,86,6,8,19,6,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,1,"gr60_b10i_b20i","76_89",6,"70s_80s","70s_80s_0","79","  86",0,0,3000,"stim2-tilt-right"
95,72,9,5,7,2,2,3,23,7,9,2,5,72,95,8,6,15,12,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,1,0,"gr60_b10c_b20c","72_95",0,"70s_90s","70s_90s_1","95","72  ",1,0,1654.5370546945471,"stim2-tilt-left"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"null_event",NA,NA,NA,NA,"##","  ##",NA,1,1174.515762619021,"stim2-tilt-right"
