"num1","num2","dec1","unit1","dec2","unit2","dec_dist","unit_dist","num_dist","min_dec","max_dec","min_unit","max_unit","min_num","max_num","vig1","vig2","b20u1","b20u2","within_dec","within_vig","comp","comp_b20","greater60","smaller60","num1_greater","num2_greater","condition","orig_item","dist_discrepancy","dec_pair","matched_group","stim1","stim2","stim1_correct","is_null","isi","stim_shift"
96,82,9,6,8,2,1,4,14,8,9,2,6,82,96,8,8,16,2,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,1,0,"gr60_b10c_b20w","82_96",0,"80s_90s","80s_90s_1","96  ","82",1,0,1204.5765649947539,"stim1-tilt-left"
49,25,4,9,2,5,2,4,24,2,4,5,9,25,49,4,2,9,5,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,1,0,"sm60_b10c_b20c","25_49",0,"20s_40s","20s_40s_1","49","25  ",1,0,2044.0769129330913,"stim2-tilt-left"
97,82,9,7,8,2,1,5,15,8,9,2,7,82,97,8,8,17,2,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,1,0,"gr60_b10c_b20w","82_97",0,"80s_90s","80s_90s_1","97","82",1,0,1919.047382290721,"no-tilt"
83,97,8,3,9,7,1,4,14,8,9,3,7,83,97,8,8,3,17,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,0,1,"gr60_b10c_b20w","83_97",0,"80s_90s","80s_90s_0","83","  97",0,0,3000,"stim2-tilt-right"
85,79,8,5,7,9,1,4,6,7,8,5,9,79,85,8,6,5,19,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,0,"gr60_b10i_b20i","75_89",8,"70s_80s","70s_80s_1","  85","79",1,0,1156.3533153961484,"stim1-tilt-right"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"null_event",NA,NA,NA,NA,"##","  ##",NA,1,2391.50525420634,"stim2-tilt-right"
52,58,5,2,5,8,0,6,6,5,5,2,8,52,58,5,5,2,8,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0,1,"sm60_b10w_b20w","52_58",0,"50s_50s","50s_50s_0","52","58  ",0,0,1166.8234022615748,"stim2-tilt-left"
45,23,4,5,2,3,2,2,22,2,4,3,5,23,45,4,2,5,3,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,1,0,"sm60_b10c_b20c","23_45",0,"20s_40s","20s_40s_1","45  ","23",1,0,1137.6781998142737,"stim1-tilt-left"
79,73,7,9,7,3,0,6,6,7,7,3,9,73,79,6,6,19,13,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,1,0,"gr60_b10w_b20w","73_79",0,"70s_70s","70s_70s_1","79","73",1,0,1231.48216433997,"no-tilt"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"null_event",NA,NA,NA,NA,"  ##","##",NA,1,1340.7364298900616,"stim1-tilt-right"
52,57,5,2,5,7,0,5,5,5,5,2,7,52,57,5,5,2,7,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0,1,"sm60_b10w_b20w","52_57",0,"50s_50s","50s_50s_0","  52","57",0,0,1030.0998878772114,"stim1-tilt-right"
24,29,2,4,2,9,0,5,5,2,2,4,9,24,29,2,2,4,9,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0,1,"sm60_b10w_b20w","24_29",0,"20s_20s","20s_20s_0","24","  29",0,0,1840.6762467585213,"stim2-tilt-right"
97,64,9,7,6,4,3,3,33,6,9,4,7,64,97,8,6,17,4,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,1,0,"gr60_b10c_b20c","64_97",0,"60s_90s","60s_90s_1","97","64  ",1,0,1707.9703257798212,"stim2-tilt-left"
28,53,2,8,5,3,3,5,25,2,5,3,8,28,53,2,5,8,3,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,1,"sm60_b10i_b20i","23_58",10,"20s_50s","20s_50s_0","28  ","53",0,0,2000.0000000000005,"stim1-tilt-left"
95,72,9,5,7,2,2,3,23,7,9,2,5,72,95,8,6,15,12,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,1,0,"gr60_b10c_b20c","72_95",0,"70s_90s","70s_90s_1","95","72",1,0,2569.323441926608,"no-tilt"
24,27,2,4,2,7,0,3,3,2,2,4,7,24,27,2,2,4,7,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0,1,"sm60_b10w_b20w","24_27",0,"20s_20s","20s_20s_0","24","  27",0,0,1206.0494062593964,"stim2-tilt-right"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"null_event",NA,NA,NA,NA,"  ##","##",NA,1,2232.1651199737585,"stim1-tilt-right"
