"num1","num2","dec1","unit1","dec2","unit2","dec_dist","unit_dist","num_dist","min_dec","max_dec","min_unit","max_unit","min_num","max_num","vig1","vig2","b20u1","b20u2","within_dec","within_vig","comp","comp_b20","greater60","smaller60","num1_greater","num2_greater","condition","orig_item","dist_discrepancy","dec_pair","matched_group","stim1","stim2","stim1_correct","is_null","isi","stim_shift"
92,97,9,2,9,7,0,5,5,9,9,2,7,92,97,8,8,12,17,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0,1,"gr60_b10w_b20w","92_97",0,"90s_90s","90s_90s_0","  92","97",0,0,1097.3001131998194,"stim1-tilt-right"
93,87,9,3,8,7,1,4,6,8,9,3,7,87,93,8,8,13,7,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,1,0,"gr60_b10i_b20w","83_97",8,"80s_90s","80s_90s_1","93","87  ",1,0,1745.052873849393,"stim2-tilt-left"
97,64,9,7,6,4,3,3,33,6,9,4,7,64,97,8,6,17,4,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,1,0,"gr60_b10c_b20c","64_97",0,"60s_90s","60s_90s_1","97","  64",1,0,1678.2472567278724,"stim2-tilt-right"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"null_event",NA,NA,NA,NA,"##  ","##",NA,1,1134.9363727182317,"stim1-tilt-left"
36,52,3,6,5,2,2,4,16,3,5,2,6,36,52,3,5,6,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,1,"sm60_b10i_b20i","32_56",8,"30s_50s","30s_50s_0","36","52",0,0,1407.5900941810123,"no-tilt"
49,23,4,9,2,3,2,6,26,2,4,3,9,23,49,4,2,9,3,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,1,0,"sm60_b10c_b20c","23_49",0,"20s_40s","20s_40s_1","49","23  ",1,0,1391.5578922490527,"stim2-tilt-left"
28,35,2,8,3,5,1,3,7,2,3,5,8,28,35,2,3,8,5,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,1,"sm60_b10i_b20i","25_38",6,"20s_30s","20s_30s_0","28","35",0,0,1300.3798759343697,"no-tilt"
58,23,5,8,2,3,3,5,35,2,5,3,8,23,58,5,2,8,3,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,1,0,"sm60_b10c_b20c","23_58",0,"20s_50s","20s_50s_1","58  ","23",1,0,1088.1538258661815,"stim1-tilt-left"
67,64,6,7,6,4,0,3,3,6,6,4,7,64,67,6,6,7,4,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,1,0,"gr60_b10w_b20w","64_67",0,"60s_60s","60s_60s_1","67","  64",1,0,1492.0936619047236,"stim2-tilt-right"
82,96,8,2,9,6,1,4,14,8,9,2,6,82,96,8,8,2,16,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,0,1,"gr60_b10c_b20w","82_96",0,"80s_90s","80s_90s_0","  82","96",0,0,1642.1216021940147,"stim1-tilt-right"
