"num1","num2","dec1","unit1","dec2","unit2","dec_dist","unit_dist","num_dist","min_dec","max_dec","min_unit","max_unit","min_num","max_num","vig1","vig2","b20u1","b20u2","within_dec","within_vig","comp","comp_b20","greater60","smaller60","num1_greater","num2_greater","condition","orig_item","dist_discrepancy","dec_pair","matched_group","stim1","stim2","stim1_correct","is_null","isi","stim_shift"
84,72,8,4,7,2,1,2,12,7,8,2,4,72,84,8,6,4,12,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,1,0,"gr60_b10c_b20i","72_84",0,"70s_80s","70s_80s_1","  84","72",1,0,2459.5236911453608,"stim1-tilt-right"
25,39,2,5,3,9,1,4,14,2,3,5,9,25,39,2,3,5,9,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,0,1,"sm60_b10c_b20c","25_39",0,"20s_30s","20s_30s_0","25","  39",0,0,2574.5078928932735,"stim2-tilt-right"
93,87,9,3,8,7,1,4,6,8,9,3,7,87,93,8,8,13,7,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,1,0,"gr60_b10i_b20w","83_97",8,"80s_90s","80s_90s_1","93","87",1,0,1415.0374992788438,"no-tilt"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"null_event",NA,NA,NA,NA,"##","##  ",NA,1,2391.50525420634,"stim2-tilt-left"
56,52,5,6,5,2,0,4,4,5,5,2,6,52,56,5,5,6,2,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1,0,"sm60_b10w_b20w","52_56",0,"50s_50s","50s_50s_1","56  ","52",1,0,1192.8122656627881,"stim1-tilt-left"
34,52,3,4,5,2,2,2,18,3,5,2,4,34,52,3,5,4,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,1,"sm60_b10i_b20i","32_54",4,"30s_50s","30s_50s_0","34  ","52",0,0,1360.2614868044395,"stim1-tilt-left"
25,49,2,5,4,9,2,4,24,2,4,5,9,25,49,2,4,5,9,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,0,1,"sm60_b10c_b20c","25_49",0,"20s_40s","20s_40s_0","25","  49",0,0,1586.5458152493431,"stim2-tilt-right"
56,58,5,6,5,8,0,2,2,5,5,6,8,56,58,5,5,6,8,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0,1,"sm60_b10w_b20w","56_58",0,"50s_50s","50s_50s_0","56","58",0,0,1531.2777288528887,"no-tilt"
49,25,4,9,2,5,2,4,24,2,4,5,9,25,49,4,2,9,5,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,1,0,"sm60_b10c_b20c","25_49",0,"20s_40s","20s_40s_1","  49","25",1,0,1425.4921071067263,"stim1-tilt-right"
69,83,6,9,8,3,2,6,14,6,8,3,9,69,83,6,8,9,3,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,1,"gr60_b10i_b20i","63_89",12,"60s_80s","60s_80s_0","69","83  ",0,0,1760.1875334318688,"stim2-tilt-left"
92,86,9,2,8,6,1,4,6,8,9,2,6,86,92,8,8,12,6,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,1,0,"gr60_b10i_b20w","82_96",8,"80s_90s","80s_90s_1","92","86  ",1,0,1149.7801409294539,"stim2-tilt-left"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"null_event",NA,NA,NA,NA,"##  ","##",NA,1,2232.1651199737585,"stim1-tilt-left"
94,78,9,4,7,8,2,4,16,7,9,4,8,78,94,8,6,14,18,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,0,"gr60_b10i_b20i","74_98",8,"70s_90s","70s_90s_1","94","78",1,0,1280.5626002956058,"no-tilt"
76,98,7,6,9,8,2,2,22,7,9,6,8,76,98,6,8,16,18,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,0,1,"gr60_b10c_b20c","76_98",0,"70s_90s","70s_90s_0","76","  98",0,0,1598.482774311156,"stim2-tilt-right"
94,76,9,4,7,6,2,2,18,7,9,4,6,76,94,8,6,14,16,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,0,"gr60_b10i_b20i","74_96",4,"70s_90s","70s_90s_1","  94","76",1,0,1173.8976500821002,"stim1-tilt-right"
54,38,5,4,3,8,2,4,16,3,5,4,8,38,54,5,3,4,8,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,0,"sm60_b10i_b20i","34_58",8,"30s_50s","30s_50s_1","  54","38",1,0,1051.8079065336206,"stim1-tilt-right"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"null_event",NA,NA,NA,NA,"##  ","##",NA,1,1015.1756283864402,"stim1-tilt-left"
62,98,6,2,9,8,3,6,36,6,9,2,8,62,98,6,8,2,18,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,0,1,"gr60_b10c_b20c","62_98",0,"60s_90s","60s_90s_0","62","98",0,0,1857.1119282405703,"no-tilt"
98,74,9,8,7,4,2,4,24,7,9,4,8,74,98,8,6,18,14,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,1,0,"gr60_b10c_b20c","74_98",0,"70s_90s","70s_90s_1","98","74  ",1,0,1414.982469325563,"stim2-tilt-left"
67,94,6,7,9,4,3,3,27,6,9,4,7,67,94,6,8,7,14,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,1,"gr60_b10i_b20c","64_97",6,"60s_90s","60s_90s_0","67","  94",0,0,1602.8890090825712,"stim2-tilt-right"
78,72,7,8,7,2,0,6,6,7,7,2,8,72,78,6,6,18,12,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,1,0,"gr60_b10w_b20w","72_78",0,"70s_70s","70s_70s_1","78","72  ",1,0,1295.7807855597448,"stim2-tilt-left"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"null_event",NA,NA,NA,NA,"##","  ##",NA,1,1134.9363727182317,"stim2-tilt-right"
63,97,6,3,9,7,3,4,34,6,9,3,7,63,97,6,8,3,17,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,0,1,"gr60_b10c_b20c","63_97",0,"60s_90s","60s_90s_0","  63","97",0,0,1058.0270744838665,"stim1-tilt-right"
76,79,7,6,7,9,0,3,3,7,7,6,9,76,79,6,6,16,19,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0,1,"gr60_b10w_b20w","76_79",0,"70s_70s","70s_70s_0","76  ","79",0,0,1436.2085839710633,"stim1-tilt-left"
47,49,4,7,4,9,0,2,2,4,4,7,9,47,49,4,4,7,9,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0,1,"sm60_b10w_b20w","47_49",0,"40s_40s","40s_40s_0","47","49",0,0,1973.4071877678957,"no-tilt"
27,23,2,7,2,3,0,4,4,2,2,3,7,23,27,2,2,7,3,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1,0,"sm60_b10w_b20w","23_27",0,"20s_20s","20s_20s_1","27","23",1,0,1673.6116232549773,"no-tilt"
84,73,8,4,7,3,1,1,11,7,8,3,4,73,84,8,6,4,13,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,1,0,"gr60_b10c_b20i","73_84",0,"70s_80s","70s_80s_1","84","  73",1,0,1062.4127002279317,"stim2-tilt-right"
68,92,6,8,9,2,3,6,24,6,9,2,8,68,92,6,8,8,12,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,1,"gr60_b10i_b20c","62_98",12,"60s_90s","60s_90s_0","68","92  ",0,0,1745.052873849393,"stim2-tilt-left"
